name,region,address,type1,type2,lon,lat
양평군청 주차장2,양평군,경기 양평군 양평읍 군청앞길 2,실외,건물주변,127.487305478987,37.491540738368
양평외갓집체험마을 주차장,양평군,경기 양평군 청운면 신론리 270-1,실외,야외시설,127.775206178301,37.5601600370153
양평한우마을 주차장,양평군,경기 양평군 강하면 전수리 567-2,실외,건물주변,127.419700756649,37.5007932281866
강상체육공원 주차장,양평군,경기 양평군 강상면 교평리 433,실외,야외시설,127.486160555069,37.4844697264416
메덩골정원 주차장,양평군,경기 양평군 양동면 금왕리 272-2,미분류,미분류,127.72972881407,37.4923656651224
양평휴게소 광주방향 주차장,양평군,경기 양평군 양동면 여양3로 384-27,실외,야외시설,127.723529528995,37.3982303876904
돗가비불쭈꾸미 주차장,양평군,경기 양평군 용문면 용문산로 207,실외,건물주변,127.602848427699,37.5156065374581
양평군민회관 주차장2,양평군,경기 양평군 양평읍 양근리 518,실외,건물주변,127.485316255655,37.4963998131502
더스타휴 골프앤리조트 주차장,양평군,경기 양평군 양동면 양동로 756,,,127.70166471252,37.4765723816971
양평해장국 전용주차장,양평군,경기 양평군 용문면 다문리 737-19,실외,건물주변,127.593662527448,37.4826821957598
별그리다 주차장,양평군,경기 양평군 양동면 양동금곡1길 331,실외,건물주변,127.790203285898,37.4199356948069
양서농협하나로마트 서종점 주차장,양평군,경기 양평군 서종면 문호리 779-1,실외,건물주변,127.35172678553,37.6027747631894
양평장로교회 주차장,양평군,경기 양평군 양평읍 양근리 210,실외,건물주변,127.493030895474,37.4887786673254
계정횟집 주차장,양평군,경기 양평군 양동면 양서북로 666-13,실외,건물주변,127.774671847206,37.4689552031144
노상공영주차장,양평군,경기 양평군 용문면 다문리 780-11,실외,노상,127.590745713612,37.4812695477533
제일식당 전용주차장,양평군,경기 양평군 용문면 다문리 717-5,실외,건물주변,127.592553760034,37.4838170703078
양평농협하나로마트 본점 주차장,양평군,경기 양평군 양평읍 남북로 96,실외,건물주변,127.502699027022,37.4911158401333
농협은행 양평군지부 주차장,양평군,경기 양평군 양평읍 양근리 429,실외,건물주변,127.489342127753,37.490212356533
양평병원 주차장2,양평군,경기 양평군 양평읍 중앙로 129,실외,건물주변,127.503029619273,37.4938750913957
오커빌리지 주차장,양평군,경기 양평군 용문면 장수길 22,실외,야외시설,127.564318162803,37.5088574667653
시그니처아파트앞 공영주차장,양평군,경기 양평군 양평읍 양근리 703,실외,건물주변,127.497031829012,37.4870391925998
청운면사무소 주차장,양평군,경기 양평군 청운면 용두리 625-1,실외,건물주변,127.710720199139,37.556254576203
