name,region,address,type1,type2,lon,lat,cluster
소하고택 주차장,광명시,경기 광명시 신촌북로 7,실외,건물주변,126.890767465318,37.4505730665399,1
철산 배수지 공원 주차장,광명시,경기 광명시 철산동 467-93,실외,야외시설,126.861336305546,37.4743797126297,0
빵명장 주차장,광명시,경기 광명시 밤일로 38,실내,지상,126.860145499065,37.4526761979334,1
장우생오리주차장,광명시,경기 광명시 소하동 160-2,실외,건물주변,126.88002453084,37.4489812808513,1
기아로주차장,광명시,경기 광명시 소하동 1242-7,실외,건물주변,126.879900867232,37.435565050407,2
다이소 광명하안점 주차장,광명시,경기 광명시 오리로 665,실외,건물주변,126.876056392811,37.4600984737635,1
낙원주차장,광명시,경기 광명시 오리로984번길 11,골목길,상가,126.854369505267,37.480458186737,0
광명SK 테크노파크 운영위원회,광명시,경기 광명시 하안로 60,미분류,미분류,126.894026227665,37.4447447627685,1
나이스파크 다이소 광명소하점 주차장,광명시,경기 광명시 소하동 38-2,실외,건물주변,126.890082328672,37.4505997320194,1
JS부띠크호텔 주차장,광명시,경기 광명시 오리로854번길 16-18,실내,지상,126.868856552332,37.4742581927167,0
해솔개발,광명시,경기 광명시 광명로 896,미분류,미분류,126.854507907353,37.4788751952478,0
도덕파크타운2단지아파트 주차장,광명시,경기 광명시 가림일로 101,실외,건물주변,126.8668218333,37.4703257125038,0
하이파킹 NH농협은행광명시지부 주차장,광명시,경기 광명시 철산로 32,실내,지하,126.86992599465772,37.476225377119285,0
KM파크 다이소 광명하안점 주차장,광명시,경기 광명시 하안동 302-6,골목길,상가,126.876054699307,37.4600973006645,1
소하도서관 주차장,광명시,경기 광명시 소하동 1331,실외,건물주변,126.886631327506,37.4491572835058,1
광명역 M클러스터관리단,광명시,경기 광명시 덕안로104번길 17,미분류,미분류,126.887062889841,37.4242148889505,2
하안주공5단지종합상가 주차장,광명시,경기 광명시 하안동 702-2,실외,건물주변,126.865852887993,37.4650963233426,0
장릉공영주차장,광명시,경기 광명시 시청로 34,미분류,미분류,126.864196593462,37.4797601660308,0
구름산추어탕 주차장,광명시,경기 광명시 하안동 316,실외,건물주변,126.871825894857,37.4574022783064,1
광명시 연서도서관 주차장,광명시,경기 광명시 연서일로 10,실내,지상,126.864803983612,37.4828771800849,0
광명역효성해링턴더퍼스트오피스텔 지하주차장,광명시,경기 광명시 일직동 509-1,실내,지하,126.884123561277,37.4223382886148,2
하안3동 행정복지센터 주차장,광명시,경기 광명시 금당로 28,실외,건물주변,126.881560731657,37.4587886412824,1
광명스피돔 주차장,광명시,경기 광명시 광명로 721,실외,야외시설,126.845853402225,37.469653294478,0
행운주차장,광명시,경기 광명시 소하동 217-7,미분류,미분류,126.879729359207,37.4441698376196,1
철화빌딩 주차장,광명시,경기 광명시 오리로854번길 6,실외,건물주변,126.867398923595,37.4744872243522,0
두산위브아파트 주차장,광명시,경기 광명시 사성로 91,실외,건물주변,126.865840936906,37.4884790257478,0
소들녘 광명점 주차장,광명시,경기 광명시 오리로876번길 6,실외,건물주변,126.865799213892,37.4764045679742,0
웅진빌딩 주차장,광명시,경기 광명시 철산로 15,실외,야외시설,126.867708618706,37.4764481676103,0
광명경영회계고등학교 주차장,광명시,경기 광명시 기아로13번안길 9-9,실외,건물주변,126.882194571376,37.4380443397694,1
카카오T KB국민은행 광명지점 주차장,광명시,경기 광명시 광명로 843,실외,건물주변,126.851746684194,37.4746479233664,0
광명역파크자이아파트 후문 주차장,광명시,경기 광명시 광명역로 26,실내,지하,126.886474910609,37.4140733679868,2
홈플러스익스프레스 광명하안점 주차장,광명시,경기 광명시 오리로 801,골목길,상가,126.867581745113,37.4669793133058,0
도덕파크타운 1단지아파트 주차장,광명시,경기 광명시 가림일로 101,실내,지상,126.864625646214,37.4708007521598,0
KTX 광명주차장,광명시,경기 광명시 일직동 507,실외,노외,126.890623194813,37.4206451614716,2
나이스파크 광명일직점 주차장,광명시,경기 광명시 일직동 509,실외,노외,126.883495872391,37.4224923763953,2
대명프라자 주차장,광명시,경기 광명시 광명로 890,미분류,미분류,126.854247043383,37.4783136354717,0
푸주옥 주차장,광명시,경기 광명시 하안동 888-5,실외,건물주변,126.861947097767,37.4525054117963,1
투썸플레이스 광명밤일점 주차장,광명시,경기 광명시 밤일안로 7,실내,지상,126.86435548503,37.4526450643627,1
광명빌딩 주차장,광명시,경기 광명시 광명로 907,실외,건물주변,126.854382550305,37.4801446519005,0
광명G타워모델하우스 주차장,광명시,경기 광명시 신기로17번길 7,실내,지상,126.883292448725,37.4208648478595,2
장수촌 주차장,광명시,경기 광명시 밤일로 37,미분류,미분류,126.860287438555,37.4523177627656,1
나이스파크 소하동 비엔팰리스 주차장,광명시,경기 광명시 금하로 529,미분류,미분류,126.890783872979,37.4515695121657,1
노브랜드 광명소하점 주차장,광명시,경기 광명시 한내일로 53,실내,지상,126.881772968475,37.4560786093145,1
광명제9알구역주택재개발정비사업조합,광명시,경기 광명시 광명로 841,미분류,미분류,126.851665094078,37.4742880479726,0
경기도시각장애인연합회 광명시지회 주차장,광명시,경기 광명시 오리로 653,미분류,미분류,126.876806923684,37.459400073435,1
기아자동차 직원전용주차장,광명시,경기 광명시 소하동 1253,실내,지상,126.884462537687,37.4353128077984,2
센트럴광명 주차장,광명시,경기 광명시 광명로832번길 5,실내,지하,126.852379924337,37.4734206404923,0
이마트 광명소하점 주차장,광명시,경기 광명시 소하로 97,실내,지하,126.88462661547084,37.44663881253875,1
케이엠파크 광명스마트주차장,광명시,경기 광명시 일직로 22,실내,지하,126.884164679105,37.4222676891461,2
에이스텔빌딩주차장,광명시,경기 광명시 시청로 7,실외,건물주변,126.863021682439,37.477531245942,0
맥도날드 광명소하DT점 주차장,광명시,경기 광명시 오리로 512,실외,건물주변,126.881759090331,37.4476631342092,1
행운화물주차장,광명시,경기 광명시 광명동 635-4,실외,노외,126.845289726723,37.4591396549951,0
웅신아트 주차장,광명시,경기 광명시 금하로 458,실내,지하,126.883310047506,37.4483920639127,1
나이스파크 광명산타마리아 주차장,광명시,경기 광명시 일직로 79,미분류,미분류,126.89012201421,37.4206760521376,2
가학동경관광장,광명시,경기 광명시 가학로85번길 87-16,미분류,미분류,126.86545906495,37.4233182891646,2
카카오 T 이마트 광명 소하점 주차장,광명시,경기 광명시 소하로 97,실내,지상,126.884553002261,37.446594050365,1
광명문화원 주차장,광명시,경기 광명시 하안동 863-8,실외,건물주변,126.8720634181,37.4677843477571,0
광문초등학교 주차장,광명시,경기 광명시 덕단이로 29,실외,건물주변,126.850901462649,37.4664774037708,0
광명역클래시아 주차장,광명시,경기 광명시 일직로12번길 24,실내,지하,126.881841916132,37.4208598029089,2
동일센타시아 주차장,광명시,경기 광명시 일직로12번길 19,실내,지하,126.882722786286,37.4210516957938,2
홍익돈까스 광명점 주차장,광명시,경기 광명시 하안동 883-3,실외,건물주변,126.863077898641,37.4528467694758,1
