name,region,address,type1,type2,lon,lat
송탄공영주차장,평택시,경기 평택시 탄현로 399,실외,노외,127.0607272,37.08785956
투루파킹 평택비전주차타워 주차장,평택시,경기 평택시 비전7길 42,실내,지상,127.10437,37.0028605
제이스 주차장,평택시,경기 평택시 평택로 42,실외,노외,127.0873029,36.99152344
서정동 제1 노상 공영 주차장,평택시,경기 평택시 서정동 924,실외,노상,127.0634562,37.06902486
하이웨이마트 송탄지산점 주차장,평택시,경기 평택시 송탄공원로 91,실외,건물주변,127.0593083,37.07561564
솔믹스 주차장,평택시,경기 평택시 팽성읍 추팔산단로 107,실외,야외시설,127.0770391,36.95742795
삼성전자 평택캠퍼스 임직원주차장,평택시,경기 평택시 고덕동 1695,실외,노외,127.0531632,37.03561754
서정충혼탑공영주차장,평택시,경기 평택시 송일로 14,실외,야외시설,127.0601235057308,37.06265060671484
송신초등학교 주차장,평택시,경기 평택시 송월로32번길 32,실외,건물주변,127.0512007,37.07470663
삼성물산 주차장,평택시,경기 평택시 고덕동 1696,실외,야외시설,127.0459566,37.03476056
아카이브 주차장,평택시,경기 평택시 오성면 당거리 368-1,실외,건물주변,126.9772115,36.98914142
안중송담지구 제1공영주차장,평택시,경기 평택시 안중읍 송담리 853-7,실외,노외,126.9266657,36.97702786
해운대연탄생갈비 포승점 제1주차장,평택시,경기 평택시 포승읍 원정리 476-1,실외,건물주변,126.8445956,36.99201168
투루파킹 평택TS one 주차장,평택시,경기 평택시 비전2로 195,실내,지상,127.1121086527305,37.00138017737027
어반센터프라자 주차장,평택시,경기 평택시 고덕갈평5길 28,실내,지하,127.0483418,37.05640525
매봉공영주차장,평택시,경기 평택시 평택4로 98,실외,노외,127.10283625474692,36.99606497932397
매일유업평택공장 주차장,평택시,경기 평택시 진위면 견산리 386-2,실외,건물주변,127.0702918,37.10777588
송탄역1번출구 주차장,평택시,경기 평택시 송탄1로 42,실내,지상,127.054773,37.07692014
맥도날드 평택GS 주차장,평택시,경기 평택시 서동대로 3929,실외,건물주변,127.1427743,36.99627236
다미올주차빌딩,평택시,경기 평택시 현신1길 5,실내,지상,127.1361852,36.99415084
삼성고덕 신규주차장,평택시,경기 평택시 고덕동 1721,미분류,미분류,127.0467881,37.02641842
안중 제1공영주차장,평택시,경기 평택시 안중읍 안중리 302-7,실외,야외시설,126.929883,36.98548991
더빅바이트 주차장,평택시,경기 평택시 팽성읍 안정리 108-63,실외,건물주변,127.0443407,36.96364054
이충동 공영주차장,평택시,경기 평택시 이충로 84-6,실외,노외,127.0672162,37.06409663
유박사칼국수 주차장,평택시,경기 평택시 팽성읍 원정리 130-95,실외,건물주변,127.0415168,36.9705948
양평해장국 청북점 주차장,평택시,경기 평택시 청북읍 광승길 6,실외,건물주변,126.9324242,37.04736709
행운주차장,평택시,경기 평택시 평택로39번길 17-13,실외,노외,127.0875721,36.98959663
