name,region,address,type1,type2,lon,lat
중앙BD,성남시 분당구,경기 성남시 분당구 황새울로258번길 41,미분류,미분류,127.1157488,37.37850609
그린프라자 주차장,성남시 분당구,경기 성남시 분당구 백현로101번길 20,실내,지하,127.1130833,37.37719498
가나프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로258번길 10-7,실내,지하,127.1162741,37.38017878
세인프라자 주차장,성남시 분당구,경기 성남시 분당구 백현로101번길 12,실내,지하,127.1124932,37.37668826
쏘카존 후너스빌딩 주차장 (기계식),성남시 분당구,경기 성남시 분당구 백현로 93 기계식 주차장 기게식 (좌측) 사용,실내,지상,127.1110792,37.37711038
쏘카존 후너스빌딩 주차장 (기계식),성남시 분당구,경기 성남시 분당구 백현로 93 기계식 주차장 기게식 (좌측) 사용,실내,지상,127.1110792,37.37711038
쏘카존 후너스빌딩 주차장 (기계식),성남시 분당구,경기 성남시 분당구 백현로 93 기계식 주차장 기게식 (좌측) 사용,실외,건물주변,127.1110792,37.37711038
쏘카존 후너스빌딩 주차장 (기계식),성남시 분당구,경기 성남시 분당구 백현로 93 기계식 주차장 기게식 (좌측) 사용,실외,건물주변,127.1110792,37.37711038
쏘카존 MS프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로214번길 8 지상 6층,실내,지상,127.1122346,37.37813195
쏘카존 [부름호출존] 수내동 공영주차장,성남시 분당구,경기 성남시 분당구 발이봉북로 7 지하 1층,실내,지하,127.1279578,37.3667937
양지마을 금호3단지 301동 앞 지하1~2층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 내정로 151,실내,지하,127.1175228,37.37430286
수내역환승주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 황새울로200번길 40 B3 출구쪽 A424기둥,실내,지하,127.1149494,37.37776172
수내제2주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 수내동 119-2 주차장,실내,지하,127.1289398,37.36666559
양지마을 한양5단지 514동 앞 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 내정로165번길 35,실내,지하,127.114206,37.37446379
수내동 공영주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 발이봉북로 7 (주차관리실 옆),실내,지하,127.1279578,37.36676757
수내역환승주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 황새울로200번길 40 지하3층 전기실 앞 벽면 (9기),실내,지하,127.1149258,37.37782031
수내2동 파크타운 롯데아파트 모든 동 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 내정로 152,실내,지하,127.1185641,37.37238895
수내동 푸른마을 쌍용아파트 506동앞 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 백현로 227,실내,지하,127.122433,37.36816911
