name,region,address,type1,type2,lon,lat,cluster
과천시설관리공단 공영주차장,과천시,경기 과천시 공원마을길 42,실내,지하,127.0053916,37.42928738,0
한성칼국수 주차장,과천시,경기 과천시 과천동 28-29,실외,건물주변,127.0092227,37.45609684,0
죽바위1-2주차장,과천시,경기 과천시 주암동 24-4,실외,노외,127.0342968,37.45815104,0
공영노외주차장,과천시,경기 과천시 별양동 41-1,실외,노외,126.9962809,37.42352454,1
상업지역공영주차장,과천시,경기 과천시 중앙로 129,실외,노외,126.9910291,37.42933401,1
벽산상가 앞 노상공영주차장,과천시,경기 과천시 별양동 1-27,실외,노상,126.9927218,37.42789791,1
뒷골7공영노외주차장,과천시,경기 과천시 과천동 367-4,실외,노외,127.0012342,37.45384196,0
공영노외주차장,과천시,경기 과천시 부림동 29-11,실외,노외,126.9965604,37.43707223,0
봄 주차장,과천시,경기 과천시 가일로 15-9,실외,건물주변,126.9825269,37.41583672,1
봄 주차장,과천시,경기 과천시 가일로 15-9,실외,건물주변,126.9825269,37.41583672,1
중앙동공영주차장,과천시,경기 과천시 중앙동 40-14,실외,노외,126.990688,37.42878076,1
북문노상공영주차장,과천시,경기 과천시 주암동 720,실외,노상,127.0167061,37.45156933,0
과천시정보과학도서관 주차장,과천시,경기 과천시 갈현동 677,실외,건물주변,126.9904125,37.41860555,1
남태령3 공영노외주차장,과천시,경기 과천시 과천동 462-15,실외,노외,126.995606,37.45005763,0
우면산간도로잔여지 공영노상주차자,과천시,경기 과천시 과천동 94,실외,노상,127.0102935,37.4509799,0
대한민국상이군경회경기지부 과천시주차장,과천시,경기 과천시 문원로 40,실외,건물주변,127.0020913,37.4287703,1
골든타워 노상공영주차장,과천시,경기 과천시 별양동 1-27,골목길,상가,126.9931285,37.42833943,1
우체국앞 노상 공영주차장,과천시,경기 과천시 별양동 57,실외,노상,126.9946539,37.42567971,1
궁말마을입구 노상공영주차장,과천시,경기 과천시 과천동 750-4,실외,야외시설,127.0084434,37.44051476,0
한내1공영노외주차장,과천시,경기 과천시 과천동 525-10,실외,노외,126.9986484,37.44825928,0
공영노외주차장,과천시,경기 과천시 문원동 149-1,실외,노외,127.0084686,37.42339815,1
공영노외주차장,과천시,경기 과천시 부림동 12-3,실외,노외,126.9956202,37.43922022,0
뒷골6공영노외주차장,과천시,경기 과천시 과천동 370-12,실외,노외,127.0009313,37.45427084,0
용마골삼거리소공원 주차장,과천시,경기 과천시 과천동 549-25,실외,건물주변,126.9936036,37.44711663,0
과천 제이플렉스,과천시,경기 과천시 과천대로5길 6,실내,지하,126.97985655,37.41122397,1
과천 제이플렉스,과천시,경기 과천시 과천대로5길 6,실내,지하,126.97985655,37.41122397,1
뒷골5공영노외주차장,과천시,경기 과천시 과천동 372,실외,노외,127.0006273,37.45500067,0
공영노외주차장,과천시,경기 과천시 중앙동 26-3,실외,노외,126.9890948,37.42950685,1
죽바위2-1주차장,과천시,경기 과천시 주암동 108-14,실외,건물주변,127.0305845,37.45704561,0
이마트앞 노상공영주차장,과천시,경기 과천시 별양동 55,실외,노상,126.9922101,37.42604809,1
전화국 앞 공영주차장,과천시,경기 과천시 중앙동 59,실외,노상,126.9915929,37.42909979,1
공영노외주차장,과천시,경기 과천시 별양동 42-2,실외,노외,126.9966876,37.42365069,1
광창교 주변5 노상 공영 주차장,과천시,경기 과천시 과천동 140-114,실외,노상,127.006123,37.44810956,0
광창2주차장,과천시,경기 과천시 과천동 133-21,실외,노외,127.0100219,37.44866972,0
사기막골1 공영노외주차장,과천시,경기 과천시 문원동 324-14,실외,노외,126.9991776,37.41971869,1
남태령1공영주차장,과천시,경기 과천시 과천동 485-25,실외,노외,126.9932325,37.4523533,0
2단지은혜와진리교회 앞 노상공영주차장,과천시,경기 과천시 별양상가2로 1-1,실외,노상,126.9940165,37.42802232,1
뒷골4공영주차장,과천시,경기 과천시 과천동 380-6,실외,노외,127.001397,37.45617738,0
Tmap주차 과천크리에이션 타워 주차장,과천시,경기 과천시 과천대로7나길 9,실내,지하,126.97730933,37.4151871,1
공영노외주차장,과천시,경기 과천시 부림동 24-8,실외,노외,126.9959818,37.43827237,0
과천타워상가관리단,과천시,경기 과천시 별양상가1로 10,실내,지하,126.9919965,37.426959,1
공영유료주차장,과천시,경기 과천시 중앙동 1-4,실외,노외,126.9870158,37.43040765,1
대박주차장,과천시,경기 과천시 광창로 40,실외,노외,127.009936,37.44823724,0
뒷골2주차장,과천시,경기 과천시 과천동 407-3,실외,노상,127.0008183,37.45969494,0
공영주차장,과천시,경기 과천시 주암동 25-3,실외,노외,127.0341521,37.45818712,0
공영노외주차장,과천시,경기 과천시 부림동 20-3,실외,노외,126.9974282,37.43892835,0
뒷골3주차장,과천시,경기 과천시 과천동 389-13,실외,노외,127.0011845,37.45866778,0
사기막골2공영노외주차장,과천시,경기 과천시 문원동 1023-83,실외,노외,127.0011692,37.41916907,1
ground V 사옥 주차장,과천시,경기 과천시 과천대로2길 54,실내,지하,126.98421194,37.40675197,1
한내3공영주차장,과천시,경기 과천시 과천동 527-18,실외,노외,126.9979794,37.44736186,0
상삼포2주차장,과천시,경기 과천시 주암동 440-8,실외,노외,127.0222764,37.44668582,0
공영노외주차장,과천시,경기 과천시 부림동 16-1,실외,노외,126.9968948,37.43944011,0
공영노외주차장,과천시,경기 과천시 부림동 35-8,실외,노외,126.9989785,37.43835533,0
죽바위2-5 공영노외주차장,과천시,경기 과천시 주암동 183-7,실외,노외,127.02787919,37.45220424,0
죽바위2-2주차장,과천시,경기 과천시 주암동 163-4,실외,건물주변,127.0298291,37.45585287,0
공영노외주차장,과천시,경기 과천시 별양동 31-4,실외,노외,126.996674,37.42494455,1
한내2 공영노외주차장,과천시,경기 과천시 과천동 530-6,실외,노외,126.9971702,37.44704829,0
상삼포3주차장,과천시,경기 과천시 주암동 437-11,실외,노외,127.0231353,37.44667124,0
천주교 성모영보수녀회 주차장,과천시,경기 과천시 문원청계길 56,골목길,주택가,127.0112885,37.42435209,0
봄 주차장,과천시,경기 과천시 가일로 15-9,실내,지하,126.9825269,37.41583672,1
봄 주차장,과천시,경기 과천시 가일로 15-9,실내,지하,126.9825269,37.41583672,1
과천 제이플렉스,과천시,경기 과천시 과천대로5길 6,실내,지상,126.97985655,37.41122397,1
과천 제이플렉스,과천시,경기 과천시 과천대로5길 6,실내,지상,126.97985655,37.41122397,1
KT과천스마트타워 주차장,과천시,경기 과천시 새술막길 39,실외,건물주변,126.99175,37.42942057,1
KT과천스마트타워 주차장,과천시,경기 과천시 새술막길 39,실외,건물주변,126.99175,37.42942057,1
