region,address,name,type1,type2,lon,lat
용인시 수지구,경기 용인시 수지구 포은대로 410,플러스클리닉센터,미분류,미분류,127.096261699643,37.3197789110081
용인시 수지구,경기 용인시 수지구 광교중앙로 316,시티하임 주차장,실내,지하,127.069887155309,37.2981458232689
용인시 수지구,경기 용인시 수지구 용구대로 2769,아마노 수지코디클럽빌딩 주차장,미분류,미분류,127.108438275562,37.3329068705401
용인시 수지구,경기 용인시 수지구 광교중앙로 314,광교 세현빌딩 민영 주차장,실내,지하,127.069811253556,37.2979057417457
용인시 수지구,경기 용인시 수지구 풍덕천로 161,에코라인,실외,건물주변,127.098505591896,37.3262889185527
용인시 수지구,경기 용인시 수지구 고기동 399-55,웹할인 봇 주차장,미분류,미분류,127.044693015842,37.3557449872013
용인시 수지구,경기 용인시 수지구 죽전동 산 46-2,단국대학교 죽전캠퍼스 주차장10,미분류,미분류,127.12522902,37.31972864
용인시 수지구,경기 용인시 수지구 수지로296번길 51-11,비즈마루 주차장,실내,지하,127.09518717740198,37.32207768509623
용인시 수지구,경기 용인시 수지구 고기로 91,나이스파크 수지 동천프라자 주차장,미분류,미분류,127.092867580286,37.345386322483
용인시 수지구,경기 용인시 수지구 문정로 15,평은프라자 주차장,미분류,미분류,127.09586985997622,37.32216183105896
용인시 수지구,경기 용인시 수지구 용구대로 2736,미래산업,미분류,미분류,127.109337514068,37.3298893896806
용인시 수지구,경기 용인시 수지구 광교중앙로296번길 22,광교푸르지오시티2단지오피스텔 주차장,실외,건물주변,127.070328842669,37.2976770224931
용인시 수지구,경기 용인시 수지구 광교중앙로 314,나이스파크 세현빌딩 주차장,미분류,미분류,127.069811365927,37.2979052911711
용인시 수지구,경기 용인시 수지구 광교중앙로 319,광교스타천 주차장,실내,지하,127.069106998254,37.2985030919215
용인시 수지구,경기 용인시 수지구 동천로99번길 8,주식회사 에스피엠,실내,지하,127.092255706478,37.3375760421549
용인시 수지구,경기 용인시 수지구 동천로99번길 8,주식회사 에스피엠,실내,지하,127.092255706478,37.3375760421549
용인시 수지구,경기 용인시 수지구 만현로 17-1,나이스파크 수지 서림빌딩 주차장,실외,건물주변,127.08945532703,37.3140647599074
용인시 수지구,경기 용인시 수지구 만현로 17-1,나이스파크 수지 서림빌딩 주차장,실외,건물주변,127.08945532703,37.3140647599074
