region,address,name,type1,type2,lon,lat
용인시 처인구,경기 용인시 처인구 양지면 학촌로 110,총신대학교 주차장4,실외,건물주변,127.2993966,37.24522484
용인시 처인구,경기 용인시 처인구 원삼면 내동로14번길 74,삼성국제경영연구소 주차장2,실외,건물주변,127.2894587,37.17520214
용인시 처인구,경기 용인시 처인구 포곡읍 포곡로108번길 13-7 1층,둔전리공영주차장 화장실,미분류,미분류,127.2187471,37.26895046
용인시 처인구,경기 용인시 처인구 백암면 용천리 729,용인대장금테마파크주차장 공중화장실,미분류,미분류,127.3415582,37.12177581
용인시 처인구,경기 용인시 처인구 백암면 한택로 2,한택식물원 주차장 공중화장실,실외,미분류,127.4062819,37.0947373
용인시 처인구,경기 용인시 처인구 포곡읍 곡현로 76,에버랜드 2무료주차장 공중화장실,실외,야외시설,127.2200305,37.28638182
용인시 처인구,경기 용인시 처인구 명지로60번길 8-3,CU 용인주차타워점,미분류,미분류,127.1869806951121,37.23094708419324
용인시 처인구,경기 용인시 처인구 남사읍 통삼리 853-2,서플러스글로벌 반도체장비클러스터 주차장입구,실외,건물주변,127.131751,38.04064354
용인시 처인구,경기 용인시 처인구 양지면 양지로 215,아스테리카 by THE CHAIR,실외,건물주변,127.2924453,37.23427021
용인시 처인구,경기 용인시 처인구 이동읍 백자로166번길 6-9,오리날다,실외,건물주변,127.1699039,37.20871153
용인시 처인구,경기 용인시 처인구 백암면 고안로51번길 205,써닝포인트CC 주차장,실내,지하,127.4198395174429,37.14627561639296
용인시 처인구,경기 용인시 처인구 백암면 고안로51번길 205,써닝포인트CC 주차장,실내,지하,127.4198395174429,37.14627561639296
